time_ms,frame_index,val_loss,train_time_ms,fps,frame_time
250.2,0,0.06605,30.004,26.7,37.5
477.5,5,0.05980,29.936,24.2,41.3
721.1,10,0.05780,33.121,22.5,44.4
977.4,15,0.05773,32.607,23,43.4
1222.3,21,0.05763,31.886,23.1,43.2
1454.6,26,0.05810,30.643,23.1,43.3
1697.0,31,0.05883,30.072,22.4,44.6
1939.6,36,0.05977,29.907,23.2,43.1
2157.0,41,0.06171,29.704,22.8,43.9
2393.1,46,0.06275,30.393,21.7,46
2630.9,51,0.06360,30.008,22.6,44.3
2867.6,56,0.06400,28.878,22.6,44.2
3071.9,60,0.06461,28.721,21.2,47.1
3278.5,64,0.06420,30.692,20.9,47.9
3496.0,69,0.06360,29.551,22.5,44.5
3717.0,74,0.06319,30.697,23.5,42.5
3961.7,79,0.06285,28.535,24,41.6
4180.3,84,0.06206,27.506,23.7,42.3
4378.6,88,0.06137,27.735,22.8,43.9
4602.1,93,0.06081,26.393,23.6,42.3
4820.7,98,0.05999,27.084,24.2,41.3
5047.6,103,0.05934,29.948,23.7,42.3
5284.7,108,0.05836,28.524,23.5,42.5
5512.1,113,0.05737,29.899,23.2,43.1
5747.0,118,0.05622,28.980,23.8,42
5966.3,123,0.05521,28.866,23.9,41.8
6187.0,128,0.05409,29.945,23.6,42.4
6410.9,133,0.05304,30.018,24.7,40.5
6629.3,138,0.05244,30.770,24.1,41.5
6851.2,143,0.05165,29.342,23.5,42.6
7078.1,148,0.05120,29.042,23.5,42.6
7325.4,154,0.05029,32.867,24.4,41
7551.9,159,0.05050,31.491,24.5,40.8
7799.3,165,0.05022,28.901,25.7,38.9
8035.6,171,0.05064,28.957,26.5,37.8
8252.4,176,0.05135,28.387,26.1,38.4
8487.1,182,0.05229,28.379,27,37
8700.1,187,0.05335,29.372,26.5,37.8
8929.3,193,0.05408,29.615,27.1,36.9
9154.3,199,0.05505,28.321,28.1,35.6
9390.6,205,0.05572,28.367,29.3,34.2
9613.7,211,0.05618,28.085,31.3,31.9
9827.9,217,0.05565,27.969,31.3,32
10036.0,223,0.05527,27.848,30.2,33.2
10268.0,229,0.05486,29.265,30,33.3
10475.6,235,0.05444,27.722,29.2,34.3
10686.0,240,0.05445,27.372,28,35.8
10926.4,246,0.05429,28.057,29.4,34
11129.6,252,0.05424,27.551,27.8,36
11359.5,258,0.05380,29.387,26.3,38.1
11580.3,263,0.05328,30.018,26.8,37.3
11812.6,269,0.05249,28.281,27,37
12043.2,274,0.05160,29.767,26.5,37.8
12270.5,279,0.05076,29.031,25.5,39.2
12495.5,284,0.04965,29.696,24.9,40.2
12733.9,289,0.04913,30.009,24.9,40.1
12999.1,295,0.04874,29.922,25.3,39.5
13254.8,301,0.04831,31.256,24.9,40.1
13501.5,307,0.04826,32.364,24.5,40.8
13735.2,312,0.04807,30.400,23.5,42.5
13981.4,317,0.04846,30.265,23.6,42.3
14230.8,323,0.04896,29.747,24.2,41.3
14472.0,328,0.04937,30.105,24.3,41.1
14723.2,334,0.05059,29.340,24.4,40.9
14938.5,339,0.05103,28.828,23.6,42.4
15181.8,344,0.05222,29.286,23.1,43.2
15399.1,349,0.05243,29.779,23.2,43.1
15622.9,354,0.05362,28.687,22.5,44.5
15837.0,358,0.05367,29.496,23,43.5
16048.0,363,0.05399,29.655,23.2,43.1
16265.0,368,0.05403,29.052,23.6,42.3
16468.2,373,0.05381,25.932,23.4,42.7
16693.5,378,0.05413,26.857,23.8,41.9
16906.9,383,0.05352,26.407,24.4,41
17117.5,388,0.05310,26.850,24.2,41.3
17331.9,393,0.05333,26.165,24.2,41.3
17537.5,398,0.05278,28.730,23.7,42.3
17783.6,403,0.05230,29.009,24.5,40.8
18019.1,409,0.05169,29.169,25.1,39.9
18247.0,414,0.05083,29.505,24.5,40.9
18460.6,419,0.05064,29.213,23.8,42
18715.1,424,0.04941,28.974,25.1,39.8
18956.0,430,0.04860,29.217,25.9,38.5
19201.2,435,0.04825,29.530,25.2,39.6
19449.1,441,0.04784,30.177,25.3,39.5
19693.9,447,0.04766,31.886,25.1,39.8
19948.7,453,0.04695,31.315,25.2,39.7
20212.1,459,0.04724,31.309,25.3,39.6
20458.6,465,0.04739,30.059,25.8,38.7
20682.4,470,0.04735,30.203,25.2,39.7
20948.7,476,0.04820,28.926,26.6,37.6
21180.7,483,0.04920,30.469,27.4,36.5
21409.5,488,0.04960,29.093,27.8,35.9
21634.2,494,0.05037,28.776,29.3,34.2
21849.6,500,0.05063,27.724,27.9,35.8
22051.5,505,0.05102,28.064,25.8,38.7
22276.4,511,0.05131,27.653,27.5,36.4
22511.2,517,0.05116,29.402,30.7,32.6
22741.8,524,0.05090,27.569,31.7,31.5
22948.0,530,0.05106,28.818,29.9,33.4
23172.1,536,0.05131,28.544,29.1,34.4
23411.3,542,0.05127,28.479,31.3,31.9
23645.6,549,0.05122,27.933,30,33.3
23867.0,555,0.05072,29.586,27,37.1
24086.0,560,0.05085,29.314,25.1,39.8
24332.0,566,0.05042,29.600,26.4,37.9
24573.5,572,0.04955,29.029,26.9,37.2
24792.7,577,0.04908,29.861,26.2,38.2
25043.7,583,0.04802,29.479,26.2,38.2
25317.1,589,0.04768,30.082,26.2,38.2
25568.0,596,0.04712,29.585,25.6,39
25817.1,602,0.04659,32.594,24.7,40.4
26050.4,607,0.04687,32.063,23.9,41.9
26309.5,612,0.04701,31.282,24,41.7
26547.1,618,0.04689,29.763,23.9,41.8
26774.8,623,0.04718,30.315,23.3,42.9
27003.0,628,0.04800,30.004,23.3,43
27221.4,633,0.04829,30.229,22.9,43.7
27451.3,638,0.04955,29.763,23.1,43.3
27672.2,643,0.05027,28.551,23.6,42.3
27909.2,648,0.05137,28.497,23.5,42.5
28133.8,653,0.05158,30.002,23.3,43
28351.7,658,0.05225,28.001,22.9,43.7
28586.2,663,0.05166,28.988,24.1,41.5
28825.3,669,0.05238,27.798,24.8,40.3
29031.4,674,0.05231,26.469,24.1,41.5
29228.9,678,0.05191,29.078,22.5,44.5
29467.7,683,0.05203,26.489,24.2,41.4
29677.8,688,0.05199,26.347,25,40
29884.2,693,0.05194,26.976,24,41.6
30091.8,698,0.05173,28.761,23.5,42.5
30311.0,703,0.05117,27.828,23.6,42.4
30537.0,708,0.05057,31.799,23.7,42.1
30771.3,713,0.05023,30.148,24.3,41.1
31033.0,719,0.04929,29.393,25.2,39.7
31248.6,724,0.04863,29.119,24.9,40.2
31472.2,729,0.04793,29.739,24.4,41
31697.0,734,0.04713,29.906,24.6,40.6
31936.6,739,0.04694,29.895,24.4,41.1
32188.5,745,0.04677,32.858,24.7,40.5
32423.1,750,0.04628,31.846,24.6,40.6
32676.7,756,0.04650,32.530,25.3,39.5
32937.7,762,0.04642,29.564,26.2,38.2
33161.2,768,0.04670,29.639,26.3,38
33405.0,774,0.04707,29.302,26.5,37.7
33632.7,780,0.04757,29.202,28,35.8
33891.1,786,0.04869,29.858,28.1,35.6
34103.9,792,0.04899,27.918,27.1,36.9
34327.2,798,0.04961,28.226,26.6,37.6
34566.7,804,0.05005,28.666,29.2,34.3
34781.5,810,0.05012,26.989,31.4,31.9
34993.3,816,0.05011,27.831,30.8,32.5
35221.2,822,0.05000,28.969,31.1,32.2
35452.4,828,0.05008,27.110,32.4,30.9
35663.1,835,0.05011,27.805,30.5,32.7
35892.0,841,0.05040,27.178,30,33.3
36093.2,847,0.05027,27.766,29.1,34.3
36321.1,853,0.05034,28.946,26.7,37.4
36525.5,858,0.05035,29.460,26.1,38.3
36736.3,863,0.05012,28.545,25,40.1
36955.5,868,0.04947,29.528,25.2,39.6
37170.2,873,0.04867,29.605,24.8,40.3
37382.4,878,0.04826,28.759,24.1,41.4
37604.2,883,0.04757,28.729,24.3,41.2
37833.1,888,0.04698,30.053,24.7,40.4
38053.1,893,0.04673,29.395,24.1,41.6
38300.4,898,0.04619,31.828,24.4,41
38549.7,904,0.04631,32.555,24.3,41.1
38790.1,909,0.04614,32.267,24,41.7
39022.0,914,0.04637,29.456,23.8,41.9
39244.3,919,0.04675,29.701,23.5,42.5
39468.2,924,0.04703,29.233,23.2,43.1
39689.0,929,0.04787,29.668,23,43.5
39938.7,934,0.04878,29.268,23.6,42.3
40182.0,940,0.04955,29.738,23.9,41.8
40428.9,945,0.05045,28.379,24.1,41.5
40664.8,950,0.05044,28.976,24,41.6
40889.7,955,0.05146,29.941,23.4,42.7
41102.1,960,0.05145,30.060,23.2,43.2
41314.8,965,0.05155,29.024,23.4,42.8
41546.5,970,0.05157,28.783,24.5,40.9
41747.0,975,0.05203,27.787,24,41.6
41965.5,980,0.05134,26.181,23.5,42.5
42185.5,985,0.05149,27.030,24.8,40.3
42404.1,990,0.05109,27.150,24.9,40.2
42631.3,995,0.05103,29.259,25,40
42867.7,1000,0.05079,29.377,25.3,39.4
43083.5,1005,0.05063,29.068,24.3,41.1
43303.2,1010,0.04985,29.217,23.3,43
43516.5,1015,0.04931,29.107,23.4,42.8
43746.4,1020,0.04845,28.896,24,41.7
43981.2,1025,0.04774,28.685,25.2,39.8
44223.3,1031,0.04709,29.392,25.4,39.4
44472.0,1037,0.04703,29.896,25.2,39.6
44705.8,1042,0.04655,30.141,24.6,40.7
44953.6,1048,0.04618,32.070,24.5,40.9
45177.8,1053,0.04611,31.816,24.6,40.6
45426.1,1059,0.04591,30.010,25.1,39.8
45656.1,1064,0.04622,30.241,25.5,39.2
45902.9,1070,0.04654,28.641,26.1,38.3
46132.1,1076,0.04724,29.679,27.2,36.8
46365.4,1082,0.04794,29.536,27.2,36.8
46580.2,1087,0.04842,29.422,27.2,36.8
46798.6,1093,0.04895,28.759,26.8,37.3
47022.4,1099,0.04959,28.137,27.7,36.1
47243.3,1105,0.04988,27.211,28.3,35.3
47470.5,1111,0.04987,28.640,31.9,31.4
47677.6,1118,0.04995,27.673,30.7,32.6
47878.2,1123,0.04972,28.957,27.1,36.9
48096.8,1129,0.04986,27.090,27.5,36.4
48303.5,1134,0.05012,27.484,27.7,36.1
48533.5,1140,0.04983,27.713,29.9,33.4
48751.5,1146,0.05007,28.207,29.4,34
48968.6,1151,0.04979,28.335,26.5,37.7
49190.7,1157,0.05008,28.395,26.2,38.2
49425.6,1162,0.04948,28.283,27.7,36.1
49658.7,1168,0.04889,28.334,27.7,36.1
49893.3,1174,0.04755,29.667,25.6,39
50116.5,1179,0.04712,30.335,24.8,40.3
50345.8,1184,0.04684,29.175,24.4,41
50584.2,1190,0.04624,29.269,24.8,40.3
50822.5,1195,0.04606,29.809,24.5,40.8
51086.7,1201,0.04594,31.408,24.3,41.1
51341.0,1207,0.04602,31.711,24,41.7
51596.6,1213,0.04634,30.059,24.1,41.5
51819.9,1218,0.04649,30.154,24,41.7
52062.1,1223,0.04678,29.420,23.9,41.9
52284.8,1228,0.04758,29.812,23.3,42.8
52507.2,1233,0.04834,30.207,23,43.5
52733.0,1238,0.04905,29.042,23.2,43.1
52951.7,1243,0.04987,30.011,22.8,43.8
53178.4,1248,0.05043,30.125,23,43.6
53403.9,1253,0.05097,28.950,23.2,43.1
53627.8,1258,0.05102,30.020,23.7,42.3
53848.2,1263,0.05150,27.442,24.1,41.5
54057.3,1268,0.05163,25.663,23.8,42.1
54281.9,1273,0.05156,25.781,23.8,41.9
54504.2,1278,0.05120,27.379,24.5,40.7
54729.7,1284,0.05138,26.666,25,40
54936.8,1289,0.05130,26.108,24.5,40.8
55147.1,1294,0.05083,26.184,24.1,41.5
55387.6,1299,0.05074,29.249,25,40
55602.8,1304,0.04985,29.350,24.2,41.3
55856.2,1309,0.04939,27.902,24.9,40.2
56090.5,1315,0.04907,28.583,25.5,39.3
56324.4,1320,0.04842,28.637,24.9,40.2
56572.8,1326,0.04734,28.954,25.3,39.6
56832.4,1332,0.04693,30.219,25.6,39.1
57070.7,1338,0.04667,29.602,25.3,39.6
57327.9,1344,0.04625,32.721,25.2,39.7
57608.4,1350,0.04613,31.720,24.9,40.1
57862.2,1356,0.04601,29.578,25.9,38.5
58109.9,1363,0.04611,30.139,26.1,38.4
58360.9,1369,0.04606,29.435,26.5,37.8
58604.1,1375,0.04677,28.901,28,35.7
58830.4,1381,0.04736,28.639,27.2,36.7
59080.3,1387,0.04820,29.545,27.6,36.2
59307.1,1393,0.04842,28.586,28.7,34.8
59535.7,1399,0.04933,27.810,28,35.7
59772.3,1405,0.04977,28.025,30.5,32.7
59995.1,1412,0.04925,27.386,32.4,30.9
60225.3,1418,0.04967,28.548,31.8,31.4
60420.9,1424,0.05011,28.331,30.6,32.7
60635.6,1430,0.04964,27.845,28.9,34.6
60854.1,1436,0.04970,30.847,29,34.4
61093.7,1441,0.04977,27.507,29.6,33.7
61315.9,1448,0.04939,27.897,30.3,33
61534.0,1454,0.04966,28.889,27.9,35.8
61778.1,1460,0.04946,29.020,27.2,36.8
62039.3,1466,0.04884,28.894,27,37
62280.5,1473,0.04795,29.749,27.3,36.6
62548.3,1479,0.04726,29.683,27.4,36.4
62826.2,1486,0.04683,30.014,26.8,37.4
63081.8,1493,0.04626,29.451,25.9,38.6
63330.1,1499,0.04623,30.554,25.3,39.5
63569.3,1505,0.04595,32.575,24.3,41.2
63835.1,1510,0.04592,32.285,24.6,40.6
64106.6,1516,0.04598,31.220,24.5,40.8
64376.2,1522,0.04665,29.216,24.1,41.5
64618.4,1528,0.04711,29.267,23.9,41.9
64847.3,1533,0.04755,29.198,24,41.6
65096.2,1538,0.04847,29.526,24,41.6
65317.7,1543,0.04928,28.751,23.7,42.1
65564.5,1548,0.04990,29.851,23.3,42.8
65771.8,1553,0.05061,30.168,23,43.5
65994.2,1558,0.05106,29.236,22.5,44.5
66224.7,1563,0.05135,29.344,24,41.7
66440.3,1568,0.05123,27.706,24.3,41.2
